,query,text,token,frequency
0,机票,飞机餐配点咸菜好,飞机 餐配 点 咸菜,"[('飞机', 1), ('餐配', 1), ('点', 1), ('咸菜', 1)]"
1,机票,提前预订一个蛋奶餐了解送所谓蛋奶餐里面蛋奶蛋味奶味胡萝卜菜花碎洋葱西兰花一个面包面包里面夹西红柿青瓜。。没蛋没奶蛋奶餐？？,没蛋 没奶 蛋 奶餐 提前 预订,"[('没蛋', 1), ('没奶', 1), ('蛋', 1), ('奶餐', 1), ('提前', 1), ('预订', 1)]"
2,机票,非限定座位选满后，APP值机无法登机口升舱合理建议这种情况APP值机机场后服务台办理座位规避问题,限定 座位 选满 后 APP 值机,"[('限定', 1), ('座位', 1), ('选满', 1), ('后', 1), ('APP', 1), ('值机', 1)]"
3,机票,机会积分兑换临时有事无法改签有点尴尬希望改进,机会 积分 兑换,"[('机会', 1), ('积分', 1), ('兑换', 1)]"
4,机票,临时升舱付出400元费用服务天差地别感觉渺视瞬间感觉升舱价值失望,,"[('', 1)]"
5,机票,升仓体检体检肚子气餐食体检体检浪费里程,,"[('', 1)]"
6,机票,南航登机口升舱服务积分代付好,,"[('', 1)]"
7,机票,app订座成功值机柜台却说看到,,"[('', 1)]"
8,机票,付费选择窗口座位登机发现座位窗户体验不好,座位 窗户 体验 不好,"[('座位', 1), ('窗户', 1), ('体验', 1), ('不好', 1)]"
9,机票,提前外APP选位置现场登机牌说一趟应急通道位开档重新选位提前通知上机后发现应急通道位有人坐,,"[('', 1)]"
10,值机,飞机餐配点咸菜好,飞机 餐配 点 咸菜,"[('飞机', 1), ('餐配', 1), ('点', 1), ('咸菜', 1)]"
11,值机,提前预订一个蛋奶餐了解送所谓蛋奶餐里面蛋奶蛋味奶味胡萝卜菜花碎洋葱西兰花一个面包面包里面夹西红柿青瓜。。没蛋没奶蛋奶餐？？,没蛋 没奶 蛋 奶餐 提前 预订,"[('没蛋', 1), ('没奶', 1), ('蛋', 1), ('奶餐', 1), ('提前', 1), ('预订', 1)]"
12,值机,非限定座位选满后，APP值机无法登机口升舱合理建议这种情况APP值机机场后服务台办理座位规避问题,限定 座位 选满 后 APP 值机,"[('限定', 1), ('座位', 1), ('选满', 1), ('后', 1), ('APP', 1), ('值机', 1)]"
13,值机,机会积分兑换临时有事无法改签有点尴尬希望改进,机会 积分 兑换,"[('机会', 1), ('积分', 1), ('兑换', 1)]"
14,值机,临时升舱付出400元费用服务天差地别感觉渺视瞬间感觉升舱价值失望,,"[('', 1)]"
15,值机,升仓体检体检肚子气餐食体检体检浪费里程,,"[('', 1)]"
16,值机,南航登机口升舱服务积分代付好,,"[('', 1)]"
17,值机,app订座成功值机柜台却说看到,,"[('', 1)]"
18,值机,付费选择窗口座位登机发现座位窗户体验不好,座位 窗户 体验 不好,"[('座位', 1), ('窗户', 1), ('体验', 1), ('不好', 1)]"
19,值机,提前外APP选位置现场登机牌说一趟应急通道位开档重新选位提前通知上机后发现应急通道位有人坐,,"[('', 1)]"
20,摆渡,飞机餐配点咸菜好,飞机 餐配 点 咸菜,"[('飞机', 1), ('餐配', 1), ('点', 1), ('咸菜', 1)]"
21,摆渡,提前预订一个蛋奶餐了解送所谓蛋奶餐里面蛋奶蛋味奶味胡萝卜菜花碎洋葱西兰花一个面包面包里面夹西红柿青瓜。。没蛋没奶蛋奶餐？？,没蛋 没奶 蛋 奶餐 提前 预订,"[('没蛋', 1), ('没奶', 1), ('蛋', 1), ('奶餐', 1), ('提前', 1), ('预订', 1)]"
