,query,text,token,frequency
0,空乘,一直喜欢乘坐南方航空空姐服务态度好好,航空空姐服务态度 ,"[('航空空姐服务态度', 1)]"
1,空乘,空乘人员服务态度好满意,人员服务态度 ,"[('人员服务态度', 1)]"
2,空乘,服务好感谢头等舱空姐乘务长,头等舱空姐 ,"[('头等舱空姐', 1)]"
3,空乘,空乘人态度亲切友好亲和力强,空乘人态度亲切友好亲和力 ,"[('空乘人态度亲切友好亲和力', 1)]"
4,空乘,乘客发生长时间大声吵闹冲突时全部空乘人员一直出现直到按亮服务灯空乘人员过来发生冲突乘客后续继续争执下机乘坐接驳车时出现全车人员等待小时情况影响差,冲突乘客 全车人员 接驳车时 长时间 小时情况 ,"[('冲突乘客', 1), ('全车人员', 1), ('接驳车时', 1), ('长时间', 1), ('小时情况', 1)]"
5,空乘,我入座时发现座位附近一把叉子应该一个乘客留下收拾掉主动空少升舱后空少经济舱吃公务舱乘客乘客最后喝热茶知道为啥,空少经济舱 公务舱乘客乘客 叉子 热茶 升舱 ,"[('空少经济舱', 1), ('公务舱乘客乘客', 1), ('叉子', 1), ('热茶', 1), ('升舱', 1)]"
6,空乘,航班空乘人员女性态度横不顾乘客感受需求态度实在可怕！！！,需求态度 人员女性态度 航班 乘客 ,"[('需求态度', 1), ('人员女性态度', 1), ('航班', 1), ('乘客', 1)]"
7,空乘,南航顾客次空乘服务表示行为举止得当往长那种热情对待无意间听见两位空乘发放食物时对话分某舱段感觉人情绪理解乘客听到话觉得不妥,行为举止得当往长 食物时 人情绪 乘客 客次 ,"[('行为举止得当往长', 1), ('食物时', 1), ('人情绪', 1), ('乘客', 1), ('客次', 1)]"
8,空乘,晚班累人觉得这次空乘服务差全程乘客摆脸说行李直接暴击能不说话乘客指指点点觉得真差到爆,晚班累人 差全程乘客 行李 ,"[('晚班累人', 1), ('差全程乘客', 1), ('行李', 1)]"
9,空乘,坐南航飞机许久每次看到空乘笑容人惬意,笑容人惬意 南航飞机 ,"[('笑容人惬意', 1), ('南航飞机', 1)]"
